RK,NAME,TEAM,SALARY,2015
1,"Kobe Bryant, SF",Los Angeles Lakers,"$23,500,000",2015
2,"Joe Johnson, G",Brooklyn Nets,"$23,180,790",2015
3,"Carmelo Anthony, PF",New York Knicks,"$22,458,401",2015
4,"Dwight Howard, C",Houston Rockets,"$21,436,271",2015
5,"Chris Bosh, PF",Miami Heat,"$20,644,400",2015
6,"LeBron James, SF",Cleveland Cavaliers,"$20,644,400",2015
7,"Chris Paul, PG",LA Clippers,"$20,068,563",2015
8,"Deron Williams, PG",Brooklyn Nets,"$19,754,465",2015
9,"Rudy Gay, SF",Sacramento Kings,"$19,317,326",2015
10,"Kevin Durant, SF",Oklahoma City Thunder,"$18,995,624",2015
RK,NAME,TEAM,SALARY,2015
11,"Derrick Rose, PG",Chicago Bulls,"$18,862,876",2015
12,"Blake Griffin, PF",LA Clippers,"$17,674,613",2015
13,"Zach Randolph, F",Memphis Grizzlies,"$16,500,000",2015
14,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$16,006,000",2015
15,"Paul George, SG",Indiana Pacers,"$15,937,290",2015
16,"Marc Gasol, C",Memphis Grizzlies,"$15,829,688",2015
17,"Kevin Love, PF",Cleveland Cavaliers,"$15,719,063",2015
18,"Brook Lopez, C",Brooklyn Nets,"$15,719,062",2015
19,"Russell Westbrook, PG",Oklahoma City Thunder,"$15,719,062",2015
20,"David Lee, PF",Golden State Warriors,"$15,012,000",2015
RK,NAME,TEAM,SALARY,2015
21,"Dwyane Wade, G",Miami Heat,"$15,000,000",2015
22,"Eric Gordon, SG",New Orleans Pelicans,"$14,898,938",2015
23,"Roy Hibbert, C",Indiana Pacers,"$14,898,938",2015
24,"Tyson Chandler, C",Dallas Mavericks,"$14,846,888",2015
25,"John Wall, PG",Washington Wizards,"$14,746,000",2015
26,"DeMarcus Cousins, C",Sacramento Kings,"$14,746,000",2015
27,"Gordon Hayward, SF",Utah Jazz,"$14,746,000",2015
28,"James Harden, SG",Houston Rockets,"$14,728,844",2015
29,"Chandler Parsons, SF",Dallas Mavericks,"$14,700,000",2015
30,"Al Jefferson, C",Charlotte Hornets,"$13,500,000",2015
RK,NAME,TEAM,SALARY,2015
31,"Eric Bledsoe, PG",Phoenix Suns,"$13,000,000",2015
32,"Nene null, C",Washington Wizards,"$13,000,000",2015
33,"Andrew Bogut, C",Golden State Warriors,"$12,972,973",2015
34,"Derrick Favors, C",Utah Jazz,"$12,950,000",2015
35,"Rajon Rondo, PG",Dallas Mavericks,"$12,909,090",2015
36,"Joakim Noah, C",Chicago Bulls,"$12,700,000",2015
37,"Tony Parker, G",San Antonio Spurs,"$12,500,000",2015
38,"Serge Ibaka, C",Oklahoma City Thunder,"$12,350,000",2015
39,"Andre Iguodala, SG",Golden State Warriors,"$12,289,544",2015
40,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000",2015
RK,NAME,TEAM,SALARY,2015
41,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000",2015
42,"Al Horford, PF",Atlanta Hawks,"$12,000,000",2015
43,"Kevin Garnett, PF",Brooklyn Nets,"$12,000,000",2015
44,"David West, F",Indiana Pacers,"$12,000,000",2015
45,"Nicolas Batum, SG",Portland Trail Blazers,"$11,765,500",2015
46,"Ty Lawson, G",Denver Nuggets,"$11,595,506",2015
47,"Andrea Bargnani, C",New York Knicks,"$11,500,000",2015
48,"DeAndre Jordan, C",LA Clippers,"$11,440,123",2015
49,"Tyreke Evans, G",New Orleans Pelicans,"$11,265,416",2015
50,"JaVale McGee, C",Philadelphia 76ers,"$11,250,000",2015
RK,NAME,TEAM,SALARY,2015
51,"Larry Sanders, PF",Milwaukee Bucks,"$11,000,000",2015
52,"Danilo Gallinari, PF",Denver Nuggets,"$10,854,850",2015
53,"Stephen Curry, PG",Golden State Warriors,"$10,629,213",2015
54,"Marcin Gortat, C",Washington Wizards,"$10,434,782",2015
55,"Tim Duncan, C",San Antonio Spurs,"$10,361,446",2015
56,"Gerald Wallace, SF",Boston Celtics,"$10,105,855",2015
57,"DeMar DeRozan, SF",Toronto Raptors,"$10,100,000",2015
58,"Jrue Holiday, SG",New Orleans Pelicans,"$9,904,495",2015
59,"Luol Deng, F",Miami Heat,"$9,714,461",2015
60,"Anderson Varejao, C",Cleveland Cavaliers,"$9,704,545",2015
RK,NAME,TEAM,SALARY,2015
61,"Steve Nash, PG",Los Angeles Lakers,"$9,701,000",2015
62,"Paul Millsap, PF",Atlanta Hawks,"$9,500,000",2015
63,"Thaddeus Young, PF",Brooklyn Nets,"$9,410,869",2015
64,"Tiago Splitter, C",San Antonio Spurs,"$9,250,000",2015
65,"Jeff Green, PF",Memphis Grizzlies,"$9,200,000",2015
66,"Jordan Hill, C",Los Angeles Lakers,"$9,000,000",2015
67,"Lance Stephenson, G",Charlotte Hornets,"$9,000,000",2015
68,"Mike Conley, PG",Memphis Grizzlies,"$8,694,216",2015
69,"Trevor Ariza, SF",Houston Rockets,"$8,579,089",2015
70,"Channing Frye, F",Orlando Magic,"$8,579,088",2015
RK,NAME,TEAM,SALARY,2015
71,"Marcus Thornton, SG",Phoenix Suns,"$8,575,000",2015
72,"Ryan Anderson, PF",New Orleans Pelicans,"$8,491,500",2015
73,"Jeremy Lin, G",Los Angeles Lakers,"$8,374,646",2015
74,"Omer Asik, C",New Orleans Pelicans,"$8,374,646",2015
75,"Monta Ellis, SG",Dallas Mavericks,"$8,360,000",2015
76,"Taj Gibson, C",Chicago Bulls,"$8,000,000",2015
77,"Brandon Jennings, G",Detroit Pistons,"$8,000,000",2015
78,"O.J. Mayo, SG",Milwaukee Bucks,"$8,000,000",2015
79,"George Hill, PG",Indiana Pacers,"$8,000,000",2015
80,"Jeff Teague, PG",Atlanta Hawks,"$8,000,000",2015
RK,NAME,TEAM,SALARY,2015
81,"Dirk Nowitzki, F",Dallas Mavericks,"$7,974,482",2015
82,"Ersan Ilyasova, PF",Milwaukee Bucks,"$7,900,000",2015
83,"Tayshaun Prince, SF",Memphis Grizzlies,"$7,707,865",2015
84,"Boris Diaw, C",San Antonio Spurs,"$7,500,000",2015
85,"Arron Afflalo, G",Portland Trail Blazers,"$7,500,000",2015
86,"Goran Dragic, PG",Phoenix Suns,"$7,500,000",2015
87,"Wesley Matthews, SG",Portland Trail Blazers,"$7,245,640",2015
88,"Isaiah Thomas, PG",Phoenix Suns,"$7,238,606",2015
89,"Avery Bradley, PG",Boston Celtics,"$7,191,011",2015
90,"Pau Gasol, PF",Chicago Bulls,"$7,128,000",2015
RK,NAME,TEAM,SALARY,2015
91,"Jose Calderon, G",New York Knicks,"$7,097,191",2015
92,"Kyrie Irving, PG",Cleveland Cavaliers,"$7,070,730",2015
93,"Manu Ginobili, G",San Antonio Spurs,"$7,000,000",2015
94,"Amir Johnson, F",Toronto Raptors,"$7,000,000",2015
95,"Marvin Williams, PF",Charlotte Hornets,"$7,000,000",2015
96,"Brandon Bass, PF",Boston Celtics,"$6,900,000",2015
97,"Kevin Martin, SG",Minnesota Timberwolves,"$6,792,500",2015
98,"JJ Redick, SG",LA Clippers,"$6,792,500",2015
99,"Wilson Chandler, SF",Denver Nuggets,"$6,757,913",2015
100,"Jason Richardson, SG",Philadelphia 76ers,"$6,601,125",2015
RK,NAME,TEAM,SALARY,2015
101,"JR Smith, SG",New York Knicks,"$6,515,510",2015
102,"Carl Landry, PF",Sacramento Kings,"$6,500,000",2015
103,"Greivis Vasquez, PG",Toronto Raptors,"$6,400,000",2015
104,"Derrick Williams, PF",Sacramento Kings,"$6,331,404",2015
105,"Jarrett Jack, G",Brooklyn Nets,"$6,300,000",2015
106,"Kyle Korver, SG",Atlanta Hawks,"$6,253,521",2015
107,"Landry Fields, SG",Toronto Raptors,"$6,250,000",2015
108,"Robin Lopez, C",Portland Trail Blazers,"$6,124,729",2015
109,"Jason Thompson, PF",Sacramento Kings,"$6,037,500",2015
110,"Jodie Meeks, G",Detroit Pistons,"$6,000,000",2015
RK,NAME,TEAM,SALARY,2015
111,"Gerald Henderson, SG",Charlotte Hornets,"$6,000,000",2015
112,"Chuck Hayes, PF",Toronto Raptors,"$5,958,750",2015
113,"Jason Terry, G",Houston Rockets,"$5,850,313",2015
114,"Patrick Patterson, PF",Toronto Raptors,"$5,831,326",2015
115,"P.J. Tucker, PF",Phoenix Suns,"$5,700,000",2015
116,"Enes Kanter, C",Utah Jazz,"$5,694,674",2015
117,"Anthony Davis, PF",New Orleans Pelicans,"$5,607,240",2015
118,"Anthony Bennett, F",Minnesota Timberwolves,"$5,563,920",2015
119,"Andrew Wiggins, SF",Minnesota Timberwolves,"$5,510,640",2015
120,"Greg Monroe, C",Detroit Pistons,"$5,479,934",2015
RK,NAME,TEAM,SALARY,2015
121,"Jamal Crawford, SG",LA Clippers,"$5,450,000",2015
122,"Lou Williams, SG",Toronto Raptors,"$5,450,000",2015
123,"Courtney Lee, SG",Memphis Grizzlies,"$5,450,000",2015
124,"JJ Hickson, C",Denver Nuggets,"$5,381,750",2015
125,"Martell Webster, SF",Washington Wizards,"$5,381,750",2015
126,"Chris Andersen, PF",Miami Heat,"$5,375,000",2015
127,"Nikola Mirotic, F",Chicago Bulls,"$5,305,000",2015
128,"Spencer Hawes, PF",LA Clippers,"$5,305,000",2015
